TIPO_EMBARCACAO,QTD_2021,QTD_2024,DIF,VAR_%,STATUS
Alvarenga,50,50,0,0.0,Estável
Anfíbia,15,15,0,0.0,Estável
Apoio a Mergulho,82,96,14,17.07,Aumentou
Apoio a ROV,21,21,0,0.0,Estável
Apoio à Manobra,44,43,-1,-2.27,Diminuiu
Balsa,7027,7019,-8,-0.11,Diminuiu
Barcaça,4604,4585,-19,-0.41,Diminuiu
Batelão,1423,1431,8,0.56,Aumentou
Bote,289620,289706,86,0.03,Aumentou
Caiaque,651,650,-1,-0.15,Diminuiu
Caique,703,700,-3,-0.43,Diminuiu
Canoa,52089,51981,-108,-0.21,Diminuiu
Carga Geral,10776,10779,3,0.03,Aumentou
Carga de Alta Velocidade (HSC Carga),1,0,-1,-100.0,Diminuiu
Chata,22515,22471,-44,-0.2,Diminuiu
Cisterna (FSU),3,3,0,0.0,Estável
Curral,11,11,0,0.0,Estável
Cábrea,111,111,0,0.0,Estável
Dique Flutuante,76,78,2,2.63,Aumentou
Draga,6626,6627,1,0.02,Aumentou
Empurrador,1567,1581,14,0.89,Aumentou
Escuna,1124,1130,6,0.53,Aumentou
Estimulador de Poço,1,1,0,0.0,Estável
"Floating, Production, Storage and Off-Loading Unit (FPSO)",31,31,0,0.0,Estável
Flotel,13,12,-1,-7.69,Diminuiu
Flutuante,5016,5022,6,0.12,Aumentou
Graneleiro,304,301,-3,-0.99,Diminuiu
Hidroavião,6,6,0,0.0,Estável
Hovercraft,90,90,0,0.0,Estável
Iate,676,676,0,0.0,Estável
Jangada,14068,14049,-19,-0.14,Diminuiu
Jet Boat,1092,1093,1,0.09,Aumentou
Lancha,232571,232730,159,0.07,Aumentou
Lançador de Linhas,73,70,-3,-4.11,Diminuiu
Laser,79,78,-1,-1.27,Diminuiu
Manuseio de Linhas,5,5,0,0.0,Estável
Manuseio de Âncora (AHTS),97,94,-3,-3.09,Diminuiu
Moto-Aquática/similar,118383,118391,8,0.01,Aumentou
"Multicasco (Catamarã, Trimarã, Tetramarã, etc)",1822,1840,18,0.99,Aumentou
Multipurpose,17,17,0,0.0,Estável
Oceonagráfico,11,10,-1,-9.09,Diminuiu
Outros,137328,137119,-209,-0.15,Diminuiu
Passageiro,6284,6322,38,0.6,Aumentou
Passageiro / Carga Geral,11660,11662,2,0.02,Aumentou
Passageiro de Alta Velocidade (HSC Passageiro),14,14,0,0.0,Estável
Pesqueiro,29731,29801,70,0.24,Aumentou
Pesquisa,110,109,-1,-0.91,Diminuiu
Petroleiro,322,323,1,0.31,Aumentou
Petroleiro e Químico,20,20,0,0.0,Estável
Plataforma Auto-Elevável,13,13,0,0.0,Estável
Plataforma Fixa,31,31,0,0.0,Estável
Plataforma Semi-Submersível,44,44,0,0.0,Estável
Porta-Contentor,40,40,0,0.0,Estável
Quebra-gelo,3,2,-1,-33.33,Diminuiu
Químico,19,19,0,0.0,Estável
Químico e Gaseiro,5,5,0,0.0,Estável
Rebocador,3988,3981,-7,-0.18,Diminuiu
Roll-on / Roll-off Carga,23,23,0,0.0,Estável
Roll-on / Roll-off Passageiro (Ferry Boat),204,204,0,0.0,Estável
Saveiro,6881,6879,-2,-0.03,Diminuiu
Sonda,23,23,0,0.0,Estável
Supridor (Supply),504,504,0,0.0,Estável
Tanque (transporte de granéis líquidos),157,158,1,0.64,Aumentou
Traineira,2457,2466,9,0.37,Aumentou
Transporte Escolar,9,11,2,22.22,Aumentou
Transporte de Carga Pesada (Navio de Cargas Especiais),13,13,0,0.0,Estável
Transporte de Gases Liquefeitos,36,35,-1,-2.78,Diminuiu
Veleiro,17444,17453,9,0.05,Aumentou
